cIdx,spList,medoid,prior,purity
39,"[(40,Rp),(505,Rp),(509,Rp),(834,Rp),(1405,Rp)]",1405,Rp,1.0
40,"[(41,Lp),(700,Lp),(1392,Noth),(1406,Lp),(1408,Lp)]",1406,Lp,0.8
41,"[(42,Lp),(510,Lp),(1393,Noth),(1407,Lp),(1409,Lp)]",1407,Lp,0.8
42,"[(827,Lp),(1111,Noth),(1115,Rp),(1292,Lp),(1417,Lp),(1429,Lp),(1549,Lp)]",1549,Lp,0.71428573
43,"[(44,Rp)]",44,Rp,1.0
44,"[(45,Lp),(380,Rp),(754,Noth),(1021,Lp),(1128,Lp),(1270,Lp)]",45,Lp,0.6666667
45,"[(46,Lp),(1558,Lp),(1980,Lp)]",1980,Lp,1.0
46,"[(47,Lp),(724,Rp),(962,Lp),(972,Lp),(979,Lp),(980,Lp),(1118,Lp),(1499,Rp),(1534,Noth),(1537,Lp),(1869,Rp)]",972,Lp,0.6363636
47,"[(43,Lp),(48,Lp),(117,Lp),(1080,Lp),(1978,Lp)]",1978,Lp,1.0
48,"[(49,Lp)]",49,Lp,1.0
49,"[(50,Noth)]",50,Noth,1.0
50,"[(831,Noth),(858,Rp),(875,Rp),(883,Noth),(1073,Noth),(1084,Noth),(1117,Noth),(1185,Noth),(1195,Rp),(1267,Noth)]",1117,Noth,0.7
51,"[(1833,Noth),(1834,Noth),(1835,Noth),(1836,Noth),(1837,Rp),(1839,Noth),(1840,Noth),(1841,Noth),(1842,Noth),(1843,Rp)]",1836,Noth,0.8
52,"[(51,Noth),(53,Noth),(660,Noth),(745,Noth),(747,Rp),(750,Noth),(752,Rp),(829,Rp),(881,Rp),(886,Noth),(951,Noth),(1057,Noth),(1208,Noth),(1311,Noth),(1458,Noth),(1559,Noth),(1620,Rp),(1712,Noth),(1981,Noth)]",1981,Noth,0.7368421
53,"[(629,Noth),(670,Lp),(693,Lp),(782,Noth),(798,Noth),(823,Lp),(836,Noth),(872,Noth),(888,Lp),(1058,Lp),(1421,Lp),(1426,Lp),(1454,Noth),(1707,Rp),(1714,Lp)]",1426,Lp,0.53333336
54,"[(54,Noth),(55,Noth),(1333,Noth)]",55,Noth,1.0
55,"[(56,Noth)]",56,Noth,1.0
56,"[(52,Noth),(57,Noth),(1327,Noth),(1455,Rp)]",57,Noth,0.75
57,"[(58,Noth)]",58,Noth,1.0
58,"[(59,Rp),(712,Rp),(1414,Noth)]",712,Rp,0.6666667
59,"[(60,Noth)]",60,Noth,1.0
60,"[(61,Noth),(62,Noth)]",61,Noth,1.0
61,"[(839,Rp),(864,Rp),(876,Rp),(877,Noth),(878,Noth),(879,Rp),(880,Noth),(885,Rp)]",876,Rp,0.625
62,"[(63,Noth),(695,Rp)]",63,Rp,0.5
63,"[(64,Noth),(722,Noth),(917,Lp),(1275,Noth),(1507,Lp),(1545,Lp),(1934,Lp)]",64,Lp,0.5714286
64,"[(65,Rp)]",65,Rp,1.0
65,"[(66,Noth),(715,Noth),(717,Lp),(756,Noth),(847,Noth),(1091,Noth),(1171,Noth),(1461,Noth),(1464,Noth),(1561,Noth),(1986,Noth)]",1091,Noth,0.90909094
66,"[(67,Noth),(73,Noth)]",67,Noth,1.0
67,"[(68,Noth),(74,Noth)]",68,Noth,1.0
68,"[(69,Noth),(1093,Noth),(1462,Noth),(1985,Noth),(1987,Noth)]",69,Noth,1.0
69,"[(70,Noth),(496,Noth),(1020,Noth),(1166,Rp),(1167,Rp),(1169,Noth),(1173,Rp),(1175,Noth),(1272,Noth),(1273,Rp),(1436,Noth),(1437,Rp),(1440,Noth),(1459,Rp),(1460,Noth),(1557,Rp)]",70,Noth,0.5625
70,"[(71,Rp),(1562,Noth)]",71,Rp,0.5
71,"[(72,Noth)]",72,Noth,1.0
72,"[(870,Noth),(1010,Lp),(1011,Lp),(1141,Rp),(1150,Lp),(1151,Lp)]",1151,Lp,0.6666667
73,"[(978,Lp),(1005,Noth),(1006,Noth),(1007,Noth),(1008,Rp),(1130,Lp),(1133,Lp),(1288,Lp),(1379,Rp)]",1006,Lp,0.44444445
74,"[(581,Lp),(1498,Rp),(1871,Noth),(1872,Lp)]",1871,Lp,0.5
75,"[(76,Noth),(1359,Noth),(1892,Lp)]",1359,Noth,0.6666667
76,"[(77,Noth),(1070,Lp)]",77,Lp,0.5
77,"[(75,Noth),(78,Noth)]",78,Noth,1.0
78,"[(459,Rp),(1290,Rp),(1666,Noth),(1667,Noth),(1668,Rp),(1746,Noth),(1894,Noth)]",1667,Noth,0.5714286
79,"[(80,Noth),(863,Rp),(1362,Noth),(1486,Rp),(1496,Noth),(1636,Rp)]",80,Rp,0.5
80,"[(81,Noth),(84,Noth),(1487,Noth)]",81,Noth,1.0
81,"[(82,Noth),(86,Noth),(621,Lp),(1023,Lp),(1213,Lp)]",82,Lp,0.6
82,"[(1096,Noth),(1211,Rp),(1489,Noth),(1669,Rp),(1906,Lp),(1989,Rp)]",1989,Rp,0.5
83,"[(998,Noth),(999,Noth),(1000,Noth),(1001,Noth),(1003,Noth),(1132,Lp),(1145,Lp)]",999,Noth,0.71428573
84,"[(945,Rp),(1074,Rp),(1081,Rp),(1095,Rp),(1465,Rp),(1721,Rp),(1724,Rp)]",1074,Rp,1.0
85,"[(470,Lp),(1146,Lp),(1147,Lp),(1149,Lp)]",1147,Lp,1.0
86,"[(83,Rp),(85,Noth),(87,Rp),(953,Rp),(1430,Rp),(1565,Rp)]",87,Rp,0.8333333
87,"[(467,Noth),(1138,Noth),(1144,Noth),(1159,Noth)]",1144,Noth,1.0
88,"[(88,Noth),(89,Lp),(468,Noth)]",89,Noth,0.6666667
89,"[(90,Lp),(469,Noth),(946,Lp),(1126,Lp),(1369,Lp),(1456,Lp)]",1456,Lp,0.8333333
90,"[(91,Lp),(656,Rp),(907,Rp),(908,Rp),(1240,Lp),(1241,Lp)]",91,Lp,0.5
91,"[(92,Lp),(334,Lp),(403,Lp),(841,Rp),(911,Lp),(1098,Lp),(1212,Rp),(1524,Lp),(1566,Rp),(1941,Lp),(1991,Lp)]",92,Lp,0.72727275
92,"[(542,Lp),(543,Lp),(835,Lp),(956,Noth),(1509,Lp),(1858,Noth),(1859,Noth),(1865,Noth),(1866,Rp)]",542,Lp,0.44444445
93,"[(94,Lp),(235,Lp),(854,Lp),(958,Lp),(1029,Noth),(1178,Noth),(1943,Lp)]",94,Lp,0.71428573
94,"[(95,Lp),(1036,Lp),(1199,Lp),(1226,Lp)]",95,Lp,1.0
95,"[(96,Noth),(965,Noth),(1227,Noth),(1321,Rp),(1420,Noth),(1453,Rp),(1618,Rp)]",96,Noth,0.5714286
96,"[(97,Noth),(1322,Lp),(1713,Noth)]",97,Noth,0.6666667
97,"[(79,Rp),(98,Rp),(100,Rp),(582,Lp),(973,Rp),(1037,Lp),(1060,Noth)]",98,Rp,0.5714286
98,"[(99,Noth),(694,Lp),(1039,Rp),(1335,Noth),(1366,Noth),(1718,Noth),(1725,Rp),(1890,Noth)]",1366,Noth,0.625
99,"[(466,Rp),(587,Noth),(589,Lp),(591,Lp),(598,Noth),(599,Noth),(600,Noth),(602,Noth)]",599,Noth,0.625
100,"[(1665,Lp),(1689,Lp),(1740,Lp),(1741,Lp),(1760,Lp),(1761,Lp)]",1761,Lp,1.0
101,"[(102,Lp),(1291,Lp)]",102,Lp,1.0
102,"[(1293,Lp),(1732,Rp),(1733,Lp),(1745,Noth),(1758,Lp),(1898,Lp)]",1733,Lp,0.6666667
103,"[(104,Lp),(1739,Lp)]",104,Lp,1.0
104,"[(105,Noth)]",105,Noth,1.0
105,"[(106,Lp)]",106,Lp,1.0
106,"[(107,Lp)]",107,Lp,1.0
107,"[(108,Noth),(110,Rp),(1323,Lp)]",108,Lp,0.33333334
108,"[(109,Noth),(665,Noth),(667,Rp),(865,Noth),(866,Lp),(871,Lp),(882,Noth),(884,Noth),(890,Lp),(1623,Lp),(1637,Noth),(1639,Lp),(1640,Rp),(1646,Noth),(1648,Rp),(1875,Noth),(1878,Rp)]",109,Noth,0.47058824
109,"[(1363,Noth),(1728,Rp),(1729,Rp),(1756,Rp),(1802,Rp)]",1729,Rp,0.8
110,"[(111,Noth)]",111,Noth,1.0
111,"[(112,Lp)]",112,Lp,1.0
112,"[(113,Lp),(1224,Noth),(1225,Lp)]",1225,Lp,0.6666667
113,"[(114,Noth)]",114,Noth,1.0
114,"[(115,Lp),(1337,Lp)]",1337,Lp,1.0
115,"[(116,Lp)]",116,Lp,1.0
116,"[(1478,Rp),(1481,Rp),(1482,Noth),(1483,Noth)]",1481,Rp,0.5
117,"[(672,Lp),(1061,Rp),(1717,Noth),(1889,Rp),(1899,Rp)]",1061,Rp,0.6
118,"[(488,Noth),(489,Noth),(490,Noth),(491,Rp)]",488,Noth,0.75
119,"[(119,Rp),(120,Rp),(121,Noth)]",120,Rp,0.6666667
120,"[(1807,Lp),(1808,Noth),(1825,Lp),(1844,Rp),(1845,Noth)]",1825,Lp,0.4
121,"[(122,Noth)]",122,Noth,1.0
122,"[(123,Rp)]",123,Rp,1.0
123,"[(118,Noth),(124,Noth)]",124,Noth,1.0
124,"[(125,Rp),(126,Noth)]",125,Rp,0.5
125,"[(1811,Lp),(1812,Lp),(1826,Lp),(1831,Lp),(1832,Lp),(1848,Rp),(1849,Noth)]",1826,Lp,0.71428573
126,"[(127,Rp),(129,Lp),(1445,Noth)]",127,Lp,0.33333334
127,"[(128,Noth),(1349,Noth)]",128,Noth,1.0
128,"[(1846,Noth),(1847,Noth),(1850,Noth),(1851,Noth),(1852,Rp),(1853,Lp),(1854,Lp),(1855,Lp)]",1855,Noth,0.5
129,"[(130,Lp)]",130,Lp,1.0
130,"[(1326,Noth),(1336,Lp),(1347,Lp),(1484,Lp),(1600,Rp),(1891,Rp)]",1347,Lp,0.5
131,"[(131,Lp),(132,Lp),(1598,Lp)]",132,Lp,1.0
132,"[(133,Lp),(1599,Lp)]",133,Lp,1.0
133,"[(134,Lp),(912,Rp),(942,Rp)]",942,Rp,0.6666667
134,"[(135,Lp)]",135,Lp,1.0
135,"[(136,Lp),(137,Lp),(1857,Lp)]",136,Lp,1.0
136,"[(501,Rp),(506,Rp),(531,Lp),(554,Lp),(556,Noth),(560,Noth),(562,Rp),(564,Noth),(565,Rp),(570,Lp),(574,Rp),(577,Rp),(984,Noth),(987,Noth),(991,Noth),(997,Noth),(1018,Noth),(1125,Lp),(1230,Noth)]",556,Noth,0.47368422
137,"[(138,Noth),(1236,Noth),(1331,Noth),(1477,Rp)]",138,Noth,0.75
138,"[(139,Noth),(434,Lp),(1332,Noth),(1351,Lp),(1442,Rp),(1622,Noth),(1628,Noth)]",139,Noth,0.5714286
139,"[(140,Rp),(1002,Rp),(1443,Rp)]",140,Rp,1.0
140,"[(141,Noth),(142,Lp)]",141,Lp,0.5
141,"[(563,Noth),(566,Lp),(992,Noth),(993,Noth),(994,Noth),(1013,Lp),(1017,Noth),(1142,Noth)]",1017,Noth,0.75
142,"[(143,Lp),(552,Lp),(553,Lp),(974,Lp),(976,Lp),(977,Lp),(981,Lp),(982,Lp),(1015,Lp),(1127,Lp)]",976,Lp,1.0
143,"[(144,Rp),(241,Noth),(1346,Rp)]",1346,Rp,0.6666667
144,"[(145,Noth),(1238,Rp)]",145,Rp,0.5
145,"[(146,Lp),(198,Lp)]",146,Lp,1.0
146,"[(147,Lp),(197,Noth),(201,Lp)]",147,Lp,0.6666667
147,"[(148,Lp),(1444,Rp),(1446,Noth),(1447,Rp),(1690,Noth),(1691,Noth),(1692,Rp),(1914,Rp),(1916,Rp)]",1444,Rp,0.5555556
148,"[(25,Rp),(149,Rp),(1086,Rp),(1265,Rp),(1378,Rp),(1410,Noth),(1411,Noth),(1539,Rp),(1555,Rp),(1982,Rp)]",149,Rp,0.8
149,"[(150,Rp),(151,Rp)]",150,Rp,1.0
150,"[(1573,Noth),(1574,Noth),(1575,Noth),(1576,Noth),(1577,Rp),(1893,Rp)]",1575,Noth,0.6666667
151,"[(152,Rp),(1120,Rp),(1339,Lp),(1340,Rp),(1341,Noth),(1820,Lp),(1902,Rp)]",1340,Rp,0.5714286
152,"[(153,Lp),(154,Lp),(1856,Lp)]",153,Lp,1.0
153,"[(101,Lp),(409,Lp),(425,Lp),(451,Lp),(663,Lp),(664,Lp),(1334,Noth),(1595,Lp),(1643,Lp),(1645,Lp),(1647,Noth),(1650,Noth)]",1643,Lp,0.75
154,"[(548,Rp),(559,Rp),(597,Rp),(1289,Lp),(1518,Lp),(1660,Rp),(1726,Rp),(1730,Lp),(1734,Rp),(1735,Noth),(1736,Rp),(1775,Rp)]",1734,Rp,0.6666667
155,"[(155,Lp),(156,Lp)]",156,Lp,1.0
156,"[(157,Noth)]",157,Noth,1.0
157,"[(158,Rp)]",158,Rp,1.0
158,"[(160,Lp),(669,Lp),(873,Noth),(889,Lp),(1651,Rp),(1652,Lp),(1861,Noth)]",873,Lp,0.5714286
159,"[(730,Noth),(779,Noth),(785,Noth),(787,Noth),(788,Noth),(789,Noth),(791,Noth),(793,Noth),(795,Noth),(796,Noth),(797,Noth),(887,Lp)]",797,Noth,0.9166667
160,"[(161,Noth)]",161,Noth,1.0
161,"[(162,Noth)]",162,Noth,1.0
162,"[(163,Rp)]",163,Rp,1.0
163,"[(159,Noth),(164,Lp)]",164,Lp,0.5
164,"[(165,Lp)]",165,Lp,1.0
165,"[(166,Lp)]",166,Lp,1.0
166,"[(167,Lp),(1301,Lp),(1743,Noth),(1747,Lp),(1748,Lp),(1768,Lp),(1769,Lp),(1824,Lp)]",1747,Lp,0.875
167,"[(168,Lp),(1603,Lp)]",168,Lp,1.0
168,"[(169,Rp),(735,Lp),(1722,Noth)]",169,Lp,0.33333334
169,"[(170,Noth)]",170,Noth,1.0
170,"[(171,Lp)]",171,Lp,1.0
171,"[(172,Lp),(1604,Lp)]",172,Lp,1.0
172,"[(173,Lp)]",173,Lp,1.0
173,"[(174,Rp)]",174,Rp,1.0
174,"[(175,Rp)]",175,Rp,1.0
175,"[(176,Lp)]",176,Lp,1.0
176,"[(177,Lp),(223,Lp),(290,Lp),(596,Lp),(611,Lp),(612,Lp),(727,Lp),(728,Lp),(1078,Lp),(1452,Lp),(1547,Lp),(1993,Lp),(1996,Lp)]",177,Lp,1.0
177,"[(178,Lp),(471,Lp),(1184,Lp),(1305,Lp),(1306,Lp),(1423,Noth),(1519,Lp),(1705,Rp),(1794,Rp),(1827,Lp)]",1184,Lp,0.7
178,"[(179,Rp),(423,Rp),(583,Lp),(719,Rp),(1196,Rp),(1220,Rp),(1303,Rp),(1594,Rp),(1596,Rp),(1932,Rp)]",423,Rp,0.9
179,"[(180,Rp),(458,Rp),(460,Rp)]",458,Rp,1.0
180,"[(181,Rp),(392,Rp),(395,Rp),(454,Lp),(472,Lp),(473,Lp),(474,Lp),(475,Lp),(476,Lp),(477,Lp),(479,Noth),(480,Noth),(481,Rp),(525,Rp),(606,Lp),(1186,Rp),(1298,Lp),(1299,Noth),(1300,Rp),(1579,Noth),(1580,Noth),(1581,Rp),(1582,Lp),(1585,Lp),(1587,Lp),(1590,Lp),(1592,Lp),(1751,Lp),(1753,Noth),(1754,Noth),(1755,Rp),(1757,Lp),(1759,Lp)]",181,Lp,0.5151515
181,"[(182,Lp),(196,Noth),(452,Lp),(1232,Rp),(1324,Lp),(1686,Lp),(1731,Lp),(1922,Lp)]",1324,Lp,0.75
182,"[(526,Rp),(607,Lp),(1121,Rp),(1188,Rp),(1295,Noth),(1354,Noth),(1752,Noth),(1783,Noth),(1903,Noth)]",1295,Noth,0.5555556
183,"[(520,Lp),(522,Noth),(595,Noth),(601,Noth),(603,Noth),(619,Lp),(673,Lp),(676,Lp),(937,Lp),(938,Lp),(939,Lp),(944,Noth),(1286,Noth),(1364,Lp),(1367,Noth),(1480,Lp)]",939,Lp,0.5625
184,"[(185,Lp),(455,Lp),(1342,Rp),(1343,Noth),(1344,Rp),(1908,Lp),(1909,Lp)]",1344,Lp,0.5714286
185,"[(186,Lp),(527,Lp),(528,Lp)]",527,Lp,1.0
186,"[(187,Noth),(734,Rp),(1313,Noth),(1376,Noth),(1799,Noth),(1800,Noth)]",187,Noth,0.8333333
187,"[(188,Rp),(1801,Rp),(1805,Rp),(1806,Lp)]",1805,Rp,0.75
188,"[(189,Lp),(199,Lp),(202,Noth),(462,Lp),(592,Lp),(593,Lp),(594,Lp)]",189,Lp,0.85714287
189,"[(190,Lp)]",190,Lp,1.0
190,"[(191,Rp),(435,Rp)]",191,Rp,1.0
191,"[(103,Lp),(590,Rp),(604,Rp),(605,Noth),(608,Rp)]",605,Rp,0.6
192,"[(193,Noth),(609,Lp)]",193,Lp,0.5
193,"[(192,Noth),(194,Rp)]",194,Rp,0.5
194,"[(195,Noth)]",195,Noth,1.0
195,"[(1438,Lp),(1703,Lp),(1776,Rp),(1779,Rp)]",1776,Lp,0.5
196,"[(1777,Noth),(1778,Rp),(1780,Rp)]",1778,Rp,0.6666667
197,"[(1104,Lp),(1302,Lp),(1353,Rp),(1356,Rp),(1687,Lp),(1688,Lp)]",1353,Lp,0.6666667
198,"[(482,Noth),(483,Noth),(484,Noth),(485,Lp),(486,Lp),(487,Lp),(1677,Noth),(1700,Noth),(1766,Noth)]",485,Noth,0.6666667
199,"[(200,Lp),(203,Noth)]",200,Lp,0.5
200,"[(183,Lp),(1063,Rp),(1105,Lp),(1355,Rp),(1357,Rp),(1602,Rp),(1949,Rp)]",1105,Rp,0.71428573
201,"[(1009,Lp),(1012,Lp),(1016,Noth),(1153,Noth),(1157,Noth)]",1016,Noth,0.6
202,"[(456,Noth),(940,Noth),(1345,Lp),(1441,Lp),(1696,Noth),(1697,Lp),(1698,Lp),(1704,Lp),(1738,Lp),(1910,Noth)]",1345,Lp,0.6
203,"[(204,Lp),(862,Lp),(1198,Lp)]",1198,Lp,1.0
204,"[(801,Noth),(803,Noth),(804,Noth),(806,Noth),(808,Rp),(810,Noth),(813,Noth),(817,Lp),(819,Lp),(820,Lp),(822,Lp)]",804,Noth,0.54545456
205,"[(206,Rp),(1106,Rp)]",206,Rp,1.0
206,"[(207,Lp),(208,Lp),(539,Rp),(1503,Rp)]",207,Lp,0.5
207,"[(641,Rp),(743,Lp),(744,Lp),(762,Lp),(764,Lp)]",744,Lp,0.8
208,"[(209,Lp),(437,Lp),(915,Lp),(1497,Rp),(1803,Rp)]",437,Lp,0.6
209,"[(210,Noth)]",210,Noth,1.0
210,"[(755,Noth),(763,Lp),(765,Lp),(766,Noth),(767,Noth)]",767,Noth,0.6
211,"[(211,Lp),(212,Lp),(441,Lp)]",212,Lp,1.0
212,"[(213,Lp)]",213,Lp,1.0
213,"[(643,Noth),(645,Noth),(649,Lp),(651,Lp),(655,Lp)]",651,Lp,0.6
214,"[(215,Rp),(1797,Lp),(1950,Lp),(1952,Noth),(1953,Rp),(1954,Lp),(1959,Noth)]",1950,Lp,0.42857143
215,"[(216,Lp),(914,Rp)]",216,Lp,0.5
216,"[(217,Lp),(919,Rp)]",217,Lp,0.5
217,"[(218,Lp),(924,Lp),(1508,Lp),(1510,Lp)]",1510,Lp,1.0
218,"[(219,Lp),(545,Lp),(957,Rp),(1514,Lp),(1516,Lp)]",1516,Lp,0.8
219,"[(220,Noth),(1358,Noth)]",220,Noth,1.0
220,"[(221,Rp)]",221,Rp,1.0
221,"[(222,Rp)]",222,Rp,1.0
222,"[(224,Noth),(236,Lp),(573,Rp),(892,Rp),(1294,Rp),(1571,Lp),(1659,Lp),(1708,Lp),(1782,Rp)]",1659,Lp,0.44444445
223,"[(225,Rp),(463,Lp),(465,Lp),(1368,Rp),(1781,Lp),(1895,Lp),(1904,Rp)]",1895,Lp,0.5714286
224,"[(226,Rp)]",226,Rp,1.0
225,"[(227,Rp),(702,Rp),(706,Rp),(1365,Rp)]",227,Rp,1.0
226,"[(228,Rp),(240,Noth)]",228,Rp,0.5
227,"[(229,Noth),(708,Rp),(713,Rp),(954,Rp),(1097,Rp)]",229,Rp,0.8
228,"[(230,Rp)]",230,Rp,1.0
229,"[(231,Rp)]",231,Rp,1.0
230,"[(232,Rp),(910,Rp)]",232,Rp,1.0
231,"[(494,Rp),(1960,Noth),(1962,Noth)]",1962,Noth,0.6666667
232,"[(234,Lp),(1099,Lp),(1218,Lp),(1992,Lp)]",234,Lp,1.0
233,"[(214,Lp),(1182,Lp),(1219,Lp)]",1182,Lp,1.0
234,"[(1670,Noth),(1671,Noth),(1672,Rp),(1678,Noth),(1679,Noth),(1680,Noth)]",1670,Noth,0.8333333
235,"[(237,Rp)]",237,Rp,1.0
236,"[(238,Noth),(913,Noth),(916,Rp)]",238,Noth,0.6666667
237,"[(239,Lp),(461,Lp),(906,Rp),(1601,Rp),(1784,Rp),(1785,Rp),(1896,Rp)]",239,Rp,0.71428573
238,"[(1627,Rp),(1629,Noth),(1630,Noth),(1631,Rp),(1633,Noth),(1634,Noth),(1635,Rp),(1638,Rp)]",1631,Rp,0.5
239,"[(242,Rp)]",242,Rp,1.0
240,"[(1043,Rp),(1662,Rp)]",1043,Rp,1.0
241,"[(243,Rp),(244,Noth)]",244,Rp,0.5
242,"[(1040,Noth),(1041,Rp),(1044,Rp),(1374,Rp),(1663,Rp)]",1041,Rp,0.8
243,"[(245,Rp),(246,Lp),(1656,Rp)]",246,Rp,0.6666667
244,"[(247,Rp),(697,Rp),(955,Rp),(1256,Noth),(1257,Noth),(1258,Noth),(1259,Noth),(1469,Rp),(1471,Noth)]",1256,Noth,0.5555556
245,"[(248,Lp),(438,Lp),(1191,Lp),(1325,Noth)]",248,Lp,0.75
246,"[(249,Rp),(251,Rp),(1329,Noth),(1330,Rp)]",1329,Rp,0.75
247,"[(250,Lp),(1793,Lp)]",250,Lp,1.0
248,"[(777,Rp),(874,Noth),(1027,Noth),(1624,Noth),(1625,Noth),(1626,Rp),(1644,Rp),(1649,Rp),(1876,Rp)]",1626,Rp,0.5555556
249,"[(252,Noth),(1828,Lp)]",252,Lp,0.5
250,"[(1296,Rp),(1297,Rp),(1328,Noth),(1352,Rp),(1578,Noth),(1664,Lp),(1673,Rp),(1674,Noth),(1750,Rp)]",1296,Rp,0.5555556
251,"[(254,Lp),(414,Noth),(1675,Rp),(1676,Lp),(1727,Rp),(1737,Lp)]",1676,Lp,0.5
252,"[(255,Lp),(404,Lp),(558,Noth),(1136,Noth)]",255,Lp,0.5
253,"[(256,Lp),(464,Lp),(569,Noth),(896,Lp),(898,Lp),(934,Lp)]",256,Lp,0.8333333
254,"[(257,Lp),(338,Noth),(341,Lp)]",257,Lp,0.6666667
255,"[(631,Rp),(1143,Noth),(1158,Noth),(1160,Noth),(1928,Noth)]",1143,Noth,0.8
256,"[(259,Rp),(343,Rp),(900,Rp),(1528,Noth)]",259,Rp,0.75
257,"[(260,Noth),(901,Noth),(902,Noth),(1154,Noth),(1155,Noth),(1926,Noth)]",260,Noth,1.0
258,"[(261,Noth)]",261,Noth,1.0
259,"[(262,Rp),(347,Rp),(523,Noth),(530,Noth),(840,Noth),(903,Rp),(1025,Noth),(1156,Noth),(1280,Noth),(1494,Noth),(1927,Noth)]",262,Noth,0.72727275
260,"[(258,Noth),(263,Lp),(264,Lp),(336,Noth),(406,Noth),(837,Noth),(899,Noth),(904,Lp),(905,Lp),(935,Noth),(1511,Noth),(1937,Lp)]",905,Noth,0.5833333
261,"[(447,Noth),(450,Lp),(1867,Lp)]",450,Lp,0.6666667
